Catalyst ID|MPContribs ID|Formula|Bulk Material ID|Bulk Formula|Adsorbate Smiles|Adsorbate IUPAC Formula|Adsorption Energy|h|k|l|Surface Shift|
random2263824|6101ed4036aed9599e82a267|Ta36Cr60H2N48O|mp-1218060|Ta3Cr5N4|*OH2|H2 O1|-2.105|2|1|0|0.083|
random1727958|6101ed45a7c2f2b7f339cfb2|Sc40Ga24H2O|mp-1179520|Sc5Ga3|*OH2|H2 O1|-0.774|0|1|1|0.225|
random1069532|6101ed46a7c2f2b7f339cfbb|H2Ir72O|mp-101|Ir|*OH2|H2 O1|-0.018|1|1|0|0.125|
random1103713|6101ed49a7c2f2b7f339cfd9|Ti27Co27H2O|mp-823|TiCo|*OH2|H2 O1|-0.926|1|0|0|0.250|
random554402|6101ed4d36aed9599e82a2ce|Zr18H2S36O|mp-1186|ZrS2|*OH2|H2 O1|-3.728|2|0|1|0.028|
random2440741|6101ed5d20c7bc66345c7915|Te54H2W27O|mp-1025573|Te2W|*OH2|H2 O1|-0.014|1|0|1|0.565|
random2067781|6101ed6720c7bc66345c797c|Zr30Al6Ni24H2O|mp-637263|Zr5AlNi4|*OH2|H2 O1|-1.949|1|1|0|0.250|
random2006171|6101ed7da7c2f2b7f339d145|Mo20As40H2O|mp-1072724|MoAs2|*OH2|H2 O1|0.464|2|1|2|0.017|
random1444037|6101ed8136aed9599e82a4ba|Na16Ge16H2Se40O|mp-17964|Na2Ge2Se5|*OH2|H2 O1|-0.571|1|1|1|0.776|
random2189362|6101ed8536aed9599e82a4da|Ti96Al32H2O|mp-1823|Ti3Al|*OH2|H2 O1|-1.907|1|0|1|0.124|
random1267027|6101ed9336aed9599e82a56b|Ti24Co24H2O|mp-823|TiCo|*OH2|H2 O1|-0.010|1|1|0|0.250|
random1462785|6101ed9b36aed9599e82a5c9|Mo27H2W9S72O|mp-1027645|Mo3WS8|*OH2|H2 O1|-0.076|1|0|2|0.627|
random1540908|6101f068a7c2f2b7f339d277|Y40H2Ru20Rh20O|mp-866173|Y2RuRh|*OH2|H2 O1|-2.220|2|2|1|0.025|
random1980971|6101f06aa7c2f2b7f339d287|Ti108H2Se24O|mp-619905|Ti9Se2|*OH2|H2 O1|-2.302|0|1|0|0.250|
random2227385|6101f087a7c2f2b7f339d38f|Hf16Ge16H2Pt16O|mp-21340|HfGePt|*OH2|H2 O1|-0.001|0|0|1|0.093|
random961730|6101f08ea7c2f2b7f339d3dd|K40Bi80H2O|mp-23279|KBi2|*OH2|H2 O1|-0.359|2|2|1|0.013|
random815870|6101f096a7c2f2b7f339d430|Sn32P32H2O|mp-7526|SnP|*OH2|H2 O1|-0.051|2|2|1|0.045|
random1091292|6101f0a036aed9599e82a783|Ta16V32H2O|mp-567276|TaV2|*OH2|H2 O1|-0.577|1|0|0|0.062|
random506986|6102fd8b36aed9599e82abd0|Sr12H2Pt60O|mp-570832|SrPt5|*OH2|H2 O1|-0.434|2|1|0|0.139|
random1411504|6102fd9728bda86bd2903a34|Nb48H2Au16O|mp-2752|Nb3Au|*OH2|H2 O1|-0.734|1|1|0|0.063|
random486703|6102fd9e28bda86bd2903a8b|Cr32H2S64O|mvc-14442|CrS2|*OH2|H2 O1|-0.776|1|0|1|0.128|
random1435352|6102fda028bda86bd2903a9b|In16H2Se16O|mp-1079260|InSe|*OH2|H2 O1|0.003|0|0|1|0.250|
random1944646|6102fda18755c713dfa9c834|Zn24Te12H2Se12O|mp-1215513|Zn2TeSe|*OH2|H2 O1|-2.966|0|0|1|0.019|
random1908127|6102fda58755c713dfa9c861|Zr48H2Au16O|mp-11263|Zr3Au|*OH2|H2 O1|-0.526|1|1|0|0.312|
random1514654|6102fe4428bda86bd2903b12|Al48Ge8H2W8O|mp-1214809|Al6GeW|*OH2|H2 O1|-0.897|1|1|0|0.811|
random874024|6102fe508755c713dfa9c92d|Hf16Sn16H2O|mp-21328|HfSn|*OH2|H2 O1|-0.330|1|1|0|0.047|
random1748071|6102fe788755c713dfa9c996|Mn8Al96H2O|mp-1104165|MnAl12|*OH2|H2 O1|-1.458|1|1|0|0.250|
random1785891|6102fe798755c713dfa9c9a4|H2Ru6Rh6S24O|mp-1219512|RuRhS4|*OH2|H2 O1|-0.013|1|1|1|0.167|
random1899775|6102fef528bda86bd2903c88|Sr16H42Rh8O|mp-35152|Sr2H5Rh|*OH2|H2 O1|-0.807|0|0|1|0.001|
random1151433|6102fefe28bda86bd2903ce9|P12H2S42O|mp-1006118|P2S7|*OH2|H2 O1|-0.410|2|1|0|0.070||
random1437377|6102ff1028bda86bd2903dbe|Ti48H2Se48O|mp-568789|TiSe|*OH2|H2 O1|-0.685|2|2|1|0.031|
random555828|6102ff1428bda86bd2903deb|Zr36Co24Si36H2O|mp-1188741|Zr3Co2Si3|*OH2|H2 O1|-1.719|1|2|1|0.074|
random2371013|61030ac628bda86bd2903e7f|Fe24H2Se24O|mp-20311|FeSe|*OH2|H2 O1|-0.022|1|1|1|0.043|
random1482138|61030acb28bda86bd2903eaa|Sr20H2O|mp-76|Sr|*OH2|H2 O1|-0.459|2|2|1|0.050|
random1559312|61030ace5fd66b1c243e8e24|As32H2Rh32O|mp-22079|AsRh|*OH2|H2 O1|-0.088|2|0|1|0.125|
random2436237|61030ad828bda86bd2903f3a|K12In48H2O|mp-22481|KIn4|*OH2|H2 O1|-0.308|2|1|2|0.038|
random1539190|61030ade28bda86bd2903f6f|V36H2Se48O|mp-22700|V3Se4|*OH2|H2 O1|0.708|1|2|1|0.125|
random687024|61030ae128bda86bd2903f93|Y16Cu32H2O|mp-2698|YCu2|*OH2|H2 O1|-0.651|2|2|1|0.041|
random1224388|61030aea5fd66b1c243e8f3d|Ga16Si16H2Ru32O|mp-865615|GaSiRu2|*OH2|H2 O1|-0.002|2|1|1|0.062|
random1581734|61030aec38a2eb1173268874|Sc16Al32H2O|mp-813|ScAl2|*OH2|H2 O1|-0.756|1|0|0|0.062|
random2022922|615f5ea6abef87e48c0b1b4a|Mn24Ga24Fe48H2O|mp-1210826|MnGaFe2|*OH2|H2 O1|-1.236|2|1|0|0.083|
random1869616|615f5eabf2a9cc00fac224ff|Ti60Cu12Sn36H2O|mp-1208239|Ti5CuSn3|*OH2|H2 O1|-0.497|2|1|0|0.140|
random1580147|615f5eaff2a9cc00fac22529|Al48H2Ru24O|mp-1009834|Al2Ru|*OH2|H2 O1|-1.986|2|1|2|0.030|
random1509235|615f5eb0abef87e48c0b1bd1|Y16Te32H2O|mp-1077365|YTe2|*OH2|H2 O1|-1.011|1|1|1|0.090|
random825881|615f66c9f2a9cc00fac2259d|Mn48Ni16P32H2O|mp-1221804|Mn3NiP2|*OH2|H2 O1|-1.605|1|1|2|0.073|
random2078066|615f66cfabef87e48c0b1c99|Co16Te32H2O|mp-1103359|CoTe2|*OH2|H2 O1|-0.013|1|1|0|0.058|
random2117577|615f66d7f2a9cc00fac22697|Na48In16H2O|mp-864758|Na3In|*OH2|H2 O1|-0.456|2|0|1|0.062|
random847935|615f66d9abef87e48c0b1d43|Nb60Ga36H2O|mp-1105552|Nb5Ga3|*OH2|H2 O1|-1.592|2|0|1|0.069|
random1387505|615f66dbf2a9cc00fac226ea|Ta32Mo16H2Ir16O|mp-1186766|Ta2MoIr|*OH2|H2 O1|-0.525|1|0|0|0.125|
random2120052|615f66ddf2a9cc00fac226fe|Nb24Fe18Si30H2O|mp-1220469|Nb4Fe3Si5|*OH2|H2 O1|0.340|1|1|2|0.084|
random556144|615f66dfabef87e48c0b1dbd|Y40Al24H2O|mp-1178742|Y5Al3|*OH2|H2 O1|-1.503|1|1|0|0.226|
random2130797|615f66fdabef87e48c0b1fc2|Hf24Ga8H2O|mp-1184650|Hf3Ga|*OH2|H2 O1|-5.300|1|0|1|0.375|
random1797272|615f6708abef87e48c0b2070|Nb48H2S96O|mp-554074|NbS2|*OH2|H2 O1|0.009|0|1|2|0.294|
random1786687|615f6709abef87e48c0b2082|Ti24P48H2O|mp-20327|TiP2|*OH2|H2 O1|-0.570|1|0|1|0.147|
random1549254|615f6711abef87e48c0b2117|In48Co16H2O|mp-22236|In3Co|*OH2|H2 O1|-0.749|0|0|1|0.128|
random2455975|615f671dabef87e48c0b21f1|Ca26Al28H2O|mp-1193055|Ca13Al14|*OH2|H2 O1|-1.587|0|1|0|0.250|
random940332|615f671eabef87e48c0b21f2|Hf20Al12H2N4O|mp-977347|Hf5Al3N|*OH2|H2 O1|-0.072|1|0|0|0.279|
random1086631|615f6723abef87e48c0b2258|Hg24H2Pd24O|mp-2685|HgPd|*OH2|H2 O1|-0.048|1|1|1|0.083|
random834009|615f6725f2a9cc00fac22a3e|Ca48Ga48H2Rh32O|mp-607230|Ca3Ga3Rh2|*OH2|H2 O1|-0.622|2|1|1|0.108|
random2256139|615f6728f2a9cc00fac22a54|H2Pb48Au16O|mp-30412|Pb3Au|*OH2|H2 O1|-0.022|1|0|0|0.173|
random2144985|615f672df2a9cc00fac22a81|Zr6Nb6Al36H2O|mp-1215216|ZrNbAl6|*OH2|H2 O1|-0.418|1|0|1|0.378|
random676901|615f6735f2a9cc00fac22ac2|Al40H2W8O|mp-30337|Al5W|*OH2|H2 O1|-1.196|1|0|1|0.458|
random2257356|615f6752abef87e48c0b2596|Fe24Sn24H2O|mp-21260|FeSn|*OH2|H2 O1|-0.046|1|0|2|0.083|
random820738|615f675cabef87e48c0b2648|K32Cd16H2Pb16O|mp-504498|K2CdPb|*OH2|H2 O1|-0.411|1|1|0|0.067|
random2088513|615f676babef87e48c0b272f|In16Cu16Te32H2O|mp-1224091|InCuTe2|*OH2|H2 O1|-0.271|1|1|0|0.125|
random1870562|615f6773abef87e48c0b2792|Zr48Cu24Ge96H2O|mp-18279|Zr2CuGe4|*OH2|H2 O1|1.198|0|1|1|0.024|
random1660371|616264a7abef87e48c0b28ee|Ti64H2Pd64O|mp-980094|TiPd|*OH2|H2 O1|-0.749|1|1|2|0.059|
random1551378|616264a7f2a9cc00fac22d9e|Na24H2Au72O|mp-1186115|NaAu3|*OH2|H2 O1|-0.211|2|1|0|0.084|
random1671512|616264eaabef87e48c0b2bab|Mo48H2S72O|mp-1627|Mo2S3|*OH2|H2 O1|-0.789|2|2|1|0|
random2160535|6162684eabef87e48c0b2c4c|H2Os32Se64O|mp-2480|OsSe2|*OH2|H2 O1|-0.476|1|0|0|0.061|
random611513|6162684fb5e80ff54a155d22|K48Sb16H2O|mp-14017|K3Sb|*OH2|H2 O1|-2.723|2|0|1|0.250|
random2262600|61626879abef87e48c0b2d89|V16Co72H2W8O|mp-1216765|V2Co9W|*OH2|H2 O1|-2.025|1|0|-2|0.531|
random1947986|61626883b5e80ff54a155ea5|K96Ge96H2O|mp-1201758|KGe|*OH2|H2 O1|-0.554|1|0|2|0.047|
random2197584|61626892b5e80ff54a155f9b|Zr32H2Au128O|mp-17813|ZrAu4|*OH2|H2 O1|-0.042|0|2|1|0.194|
random1989306|616268b3b5e80ff54a15605b|Al96H2Ir32O|mp-1200220|Al3Ir|*OH2|H2 O1|-0.310|2|1|1|0.017|
random2090693|616268bfabef87e48c0b3062|Tl16P80H2O|mp-27411|TlP5|*OH2|H2 O1|0.600|0|0|1|0.027|
random2167032|616268c0abef87e48c0b3076|Zn96H2S96O|mp-9946|ZnS|*OH2|H2 O1|-0.454|2|2|1|0.010|
random1034583|616268c8b5e80ff54a1560bf|Ti24Co12H2Se48O|mp-1025347|Ti2CoSe4|*OH2|H2 O1|-0.662|2|1|0|0.119|
random1398304|616268cbb5e80ff54a1560ee|Fe60Si80H2Ir20O|mp-1225125|Fe3Si4Ir|*OH2|H2 O1|-1.253|2|1|-2|0.153|
random2298238|616268e1abef87e48c0b3159|Sr16Sn48H2O|mp-1186781|SrSn3|*OH2|H2 O1|-2.203|1|0|0|0.316|
random2194492|616268e9abef87e48c0b3197|Ca24Cd48H2O|mp-1078|CaCd2|*OH2|H2 O1|-0.399|2|1|2|0.130|
random847212|6162692ab5e80ff54a15646a|Tl16Ge16H2Se40O|mp-540818|Tl2Ge2Se5|*OH2|H2 O1|-0.250|1|1|-2|0.163|
random519816|61626933abef87e48c0b33c1|Hf27H2N18O|mp-1224388|Hf3N2|*OH2|H2 O1|-2.644|1|0|1|0.110|
random792742|61626936b5e80ff54a1564e1|Zr36Te12H2O|mp-1793|Zr3Te|*OH2|H2 O1|-0.746|2|1|1|0.012|
random1467930|61626941abef87e48c0b343c|Ca16H2Au32O|mp-443|CaAu2|*OH2|H2 O1|-0.554|1|0|1|0.500|
random2304091|61626957abef87e48c0b34a0|Y30H2Ru20O|mp-1205786|Y3Ru2|*OH2|H2 O1|-0.619|2|2|1|0.083|
random1984432|6162698fb5e80ff54a156762|Zn27H2S27O|mp-10695|ZnS|*OH2|H2 O1|-5.457|1|1|1|0.292|
random2103253|61626997abef87e48c0b36ca|Si84Tc48H2O|mp-1203760|Si7Tc4|*OH2|H2 O1|-0.591|2|1|0|0.012|
random1567323|61626998abef87e48c0b36d7|H2Au36O|mp-1008634|Au|*OH2|H2 O1|-0.024|0|0|1|0|
random1314026|616269a5b5e80ff54a1567db|Ni16Te32H2O|mp-2578|NiTe2|*OH2|H2 O1|-0.062|1|1|0|0.250|
random1430282|616269b8abef87e48c0b3806|Ni8Sb24H2O|mp-1106023|NiSb3|*OH2|H2 O1|-0.034|1|1|0|0.085|
random1851978|616269beabef87e48c0b3818|Sc16Co12Sb16H2O|mp-1219380|Sc4Co3Sb4|*OH2|H2 O1|-0.760|0|0|1|0.080|
random2219499|61626a8db5e80ff54a1568ba|Sc72Sn60H2O|mp-1209024|Sc6Sn5|*OH2|H2 O1|-0.958|1|2|0|0.020|
random1305655|61626a8eb5e80ff54a1568c0|Hf48Sc16H2O|mp-1184681|Hf3Sc|*OH2|H2 O1|-0.804|2|2|1|0|
random1757148|61626a93abef87e48c0b38f1|Sc16Cu48H2O|mp-973100|ScCu3|*OH2|H2 O1|-0.027|1|0|0|0.125|
random2102749|61626a95abef87e48c0b3908|Sr16Si8H2S32O|mp-1104926|Sr2SiS4|*OH2|H2 O1|-0.605|1|2|-2|0.080|
random2382023|61626a98abef87e48c0b3937|Sc36H74O|mp-24237|ScH2|*OH2|H2 O1|-0.808|1|0|0|0.125|
random1662326|61626ab4abef87e48c0b39ae|Mn12Ni24Sb12H2O|mp-5124|MnNi2Sb|*OH2|H2 O1|-0.292|1|1|1|0.042|
random756668|61626ab7abef87e48c0b39dd|Rb8P16H2Ru16O|mp-1206858|Rb(PRu)2|*OH2|H2 O1|-0.038|1|0|1|0.125|
random2059024|61626acfb5e80ff54a156a63|Sn56H2Pd40O|mp-1219006|Sn7Pd5|*OH2|H2 O1|-0.024|1|2|2|0.100|
random1099875|61626ad0b5e80ff54a156a6f|Na96In32H2O|mp-864758|Na3In|*OH2|H2 O1|-0.439|2|2|1|0.031|
random1629401|61626ad8b5e80ff54a156ac7|Fe12H2Se24O|mp-1103177|FeSe2|*OH2|H2 O1|-0.566|1|1|1|0.083|
random544034|61626b00b5e80ff54a156bda|Y24H2Ir72O|mp-1095497|YIr3|*OH2|H2 O1|-0.487|2|0|-1|0.208|
random1178989|61626b1cb5e80ff54a156cdd|H2Pb16S16O|mp-21276|PbS|*OH2|H2 O1|-0.268|2|1|1|0.062|
random2078044|61626b1eb5e80ff54a156ce9|Hf36Ni48Ge48H2O|mp-10076|Hf3(NiGe)4|*OH2|H2 O1|-1.796|0|1|1|0.162|
random1281558|61626b1fabef87e48c0b3cba|Rb16Fe16H2Se32O|mp-7086|RbFeSe2|*OH2|H2 O1|-0.505|1|1|-2|0.499|
random747538|61626c6bdfd6ab1c21468853|Zr18H2Cl36O|mp-571537|ZrCl2|*OH2|H2 O1|-1.047|1|0|0|0|
random980007|61626c6eb5e80ff54a156ec0|H2Pb16S16O|mp-20526|PbS|*OH2|H2 O1|-0.043|1|1|2|0.121|
random1457565|61626c70dfd6ab1c214688b5|Hg16H2Cl32O|mp-1102919|HgCl2|*OH2|H2 O1|0.849|2|0|1|0.250|
random1069882|61626c71dfd6ab1c214688bb|H2Pb24Se48O|mp-982261|PbSe2|*OH2|H2 O1|-0.133|1|0|2|0.022|
random1653231|61626ca3dfd6ab1c214689e9|Ca32Ag112H2O|mp-16770|Ca2Ag7|*OH2|H2 O1|-0.817|2|1|2|0.220|
random1650023|61626cabb5e80ff54a156f3c|K32Zn16H66O|mp-695998|K2ZnH4|*OH2|H2 O1|-0.570|1|1|2|0.097|
random516952|61626cc4dfd6ab1c214689f9|Hf27H2Rh27O|mp-11457|HfRh|*OH2|H2 O1|-3.385|1|0|0|0.250|
random1392223|61626cd1dfd6ab1c21468ab4|Zn12H2Pd36O|mp-865425|ZnPd3|*OH2|H2 O1|-0.181|2|1|2|0.083|
random1032545|61626cd7dfd6ab1c21468b10|Mo24H2Pd48O|mp-1206704|MoPd2|*OH2|H2 O1|-0.386|1|0|2|0.085|
random1833130|61626cfcb5e80ff54a156f8c|As20H2Rh20O|mp-22079|AsRh|*OH2|H2 O1|-0.286|1|2|2|0|
random1713936|61626d1ab5e80ff54a15700d|Cu48Si24H2S72O|mp-15895|Cu2SiS3|*OH2|H2 O1|1.223|2|2|1|0.206|
random880561|61626d22dfd6ab1c21468c20|Hf24Ni12H2S48O|mp-1224473|Hf2NiS4|*OH2|H2 O1|-4.500|1|1|-2|0.120|
random678293|61626dcab5e80ff54a1570bc|As96H2Rh32O|mp-8182|As3Rh|*OH2|H2 O1|-0.240|1|1|0|0.037|
random1290618|61626df6dfd6ab1c21468cf4|Ca24Ge12H2Pd36O|mp-1071127|Ca2GePd3|*OH2|H2 O1|-0.598|2|1|1|0.022|
random1869759|61626df7dfd6ab1c21468cfd|Rb12Sb36H2Se60O|mp-4721|RbSb3Se5|*OH2|H2 O1|-0.385|1|2|-1|0.038|
random2147499|61626dfadfd6ab1c21468d11|Ca50P80H2O|mp-28879|Ca5P8|*OH2|H2 O1|-0.799|1|2|-2|0.050|
random1230891|61626e26b5e80ff54a1572a1|Sr48P64H2O|mp-14288|Sr3P4|*OH2|H2 O1|-0.456|0|1|1|0.100|
random1895529|61626e46b5e80ff54a1572d5|Cu36H2Pd36O|mp-1225656|CuPd|*OH2|H2 O1|-0.213|0|2|1|0.083|
random2091330|61626e47b5e80ff54a1572da|Ti72H2Se36O|mp-620032|Ti2Se|*OH2|H2 O1|-2.699|1|1|1|0.135|
random2117018|61626e48b5e80ff54a1572f6|Nb16Al24H2Ir8O|mp-1220700|Nb2Al3Ir|*OH2|H2 O1|-0.625|1|1|0|0.127|
random2040820|61626e74dfd6ab1c21468ed9|Cd16H2S16O|mp-2469|CdS|*OH2|H2 O1|-0.120|2|1|1|0.062|
random1387139|61626e78dfd6ab1c21468f0b|Mo24H2Pt72O|mp-1221420|MoPt3|*OH2|H2 O1|-0.115|1|2|1|0.001|
random1034734|61626ea9dfd6ab1c21469068|Y24H2Rh72O|mp-1191413|YRh3|*OH2|H2 O1|-0.149|1|0|2|0.460|
random226507|61626edcdfd6ab1c21469143|Ca16Si32H2O|mp-12892|CaSi2|*OH2|H2 O1|-0.289|2|2|1|0.063|
random1901270|61626ef5dfd6ab1c214691e8|Bi16H2Pd32Pb16O|mp-30461|BiPd2Pb|*OH2|H2 O1|-0.032|1|1|1|0.232|
random1581505|61626f0bdfd6ab1c21469242|Re48H2Rh16O|mp-1186923|Re3Rh|*OH2|H2 O1|-0.435|1|0|0|0|
random623751|61626f1bdfd6ab1c214692f3|Hf48Al72H2O|mp-846|Hf2Al3|*OH2|H2 O1|-1.354|1|2|1|0.097|
random2258481|61626f30dfd6ab1c21469308|P64H2Ir32O|mp-10155|P2Ir|*OH2|H2 O1|-2.117|0|0|1|0.199|
random1294209|61627049dfd6ab1c2146948b|Zr32In32H2O|mp-1207380|ZrIn|*OH2|H2 O1|-0.700|1|1|2|0.125|
random1382032|61627051b5e80ff54a157605|Zr40Al40Fe40H2O|mp-1215340|ZrAlFe|*OH2|H2 O1|-1.807|1|2|2|0.107|
random1518570|6162705cdfd6ab1c214694cd|Ti24H2Pt72O|mp-12107|TiPt3|*OH2|H2 O1|-0.343|1|1|0|0.125|
random1718108|61627073b5e80ff54a15765d|Zr36H74O|mp-24155|ZrH2|*OH2|H2 O1|-0.004|1|0|0|0.125|
random1798396|61627127dfd6ab1c21469613|Ca18Cr6H2N18O|mvc-16324|Ca3CrN3|*OH2|H2 O1|-0.704|2|0|1|0.071|
random2029325|61627135b5e80ff54a157721|Al84H2Pt32O|mp-1982|Al21Pt8|*OH2|H2 O1|-1.207|1|0|1|0.073|
random1697513|61627137b5e80ff54a15773e|Rb24H2O|mp-1179656|Rb|*OH2|H2 O1|-0.359|2|0|1|0.001|
random2299334|6162713bb5e80ff54a157784|Tl8Co8H2Cl24O|mp-569753|TlCoCl3|*OH2|H2 O1|0.842|2|-1|2|0.065|
random1659700|6162713cb5e80ff54a15779c|Rb12Bi24H2O|mp-23253|RbBi2|*OH2|H2 O1|-0.147|2|1|0|0.021|
