ix	Element combo	material_id
108	AsPdS	mp-10848
109	AsPdSe	mp-10849
110	AsPRu	mp-1228753
111	AsPtS	mp-1228738
112	AsRh	mp-8182
113	AsRu	mp-15650
114	AsRuS	mp-1214786
115	AsSe	mp-1078443
116	AsW	mp-1077179
117	Au	mp-81
118	AuCl	mp-32780
119	AuS	mp-947
120	B	mp-160
121	Bi	mp-1067758
122	Bi(MoS)	mp-1104502
123	Bi(PbS)	mp-1227695
124	BiIr	mp-1101783
125	BiIrS	mp-1102836
126	BiPbS	mp-1227567
127	BiPd	mp-569727
128	BiPdPb	mp-1227450
129	BiPdPt	mp-1227322
130	BiPdS	mp-23012
131	BiPdSe	mp-1103697
132	BiPtCl	mp-582988
133	BiPtSe	mp-1103724
134	BiRh	mp-1064554
135	BiRhS	mp-1103098
136	BiS	mp-971673
137	BiSb	mp-1227290
138	BiSbPt	mp-1227296
139	BiSbTe	mp-1227463
140	BiSe	mp-27902
141	BiSeS	mp-1227504
142	BiTe	mp-34202
143	BiTePb	mp-569044
144	BiTeSe	mp-29666
145	C	mp-48
146	Ca	mp-1183455
147	Ca(AlAs)	mp-28304
148	Ca(AlCo)	mp-17871
149	Ca(AlCu)	mp-10877
150	Ca(AlH)	mp-1214099
151	Ca(AlN)	mp-570258
152	Ca(AlP)	mp-1205337
153	Ca(AlSe)	mp-36988
154	Ca(AlSi)	mp-9577
155	Ca(AlZn)	mp-30175
156	Ca(AsPd)	mp-5166
157	Ca(AsRh)	mp-16044
158	Ca(AsRu)	mp-5610
159	Ca(CdGa)	mp-1227871
160	Ca(CoGe)	mp-4259
161	Ca(CoP)	mp-3210
162	Ca(CoSi)	mp-1070152
163	Ca(CrS)	mp-1045417
164	Ca(CuAs)	mp-1183490
165	Ca(CuP)	mp-22295
166	Ca(CuSi)	mp-1097716
167	Ca(CuSn)	mp-568974
168	Ca(FeAs)	mp-1068300
169	Ca(FeN)	mp-1116769
170	Ca(FeSi)	mp-1068250
171	Ca(GaS)	mp-1104167
172	Ca(GaSb)	mp-17985
173	Ca(GeAs)	mp-18504
174	Ca(GeIr)	mp-1095240
175	Ca(GePd)	mp-1105294
176	Ca(GePt)	mp-1183528
177	Ca(GeRh)	mp-16261
178	Ca(GeRu)	mp-19791
179	Ca(InP)	mp-1079772
180	Ca(InS)	mp-1227503
181	Ca(InSb)	mp-649479
182	Ca(MnAl)	mp-1227419
183	Ca(MnGe)	mp-19824
184	Ca(MnN)	mp-1246021
185	Ca(NiSn)	mp-510484
186	Ca(ScS)	mp-17597
187	Ca(TiS)	mp-1048662
188	Ca(VN)	mp-1246392
189	Ca(ZnAu)	mp-1227416
190	Ca(ZnGe)	mp-13911
191	Ca(ZnSi)	mp-12137
192	Ca(ZnSn)	mp-1191862
193	CaAg	mp-538
194	CaAgAu	mp-983850
195	CaAgHg	mp-984704
196	CaAgPd	mp-1183456
197	CaAl	mp-1749
198	CaAlAg	mp-1226787
199	CaAlCo	mp-11350
200	CaAlPt	mp-1102631
201	CaAlSb	mvc-16396
202	CaAs	mp-888
203	CaAsCl	mp-28069
204	CaAu	mp-1183462
205	CaAuN	mp-9040
206	CaBi	mp-866006
207	CaBiAu	mp-867799
208	CaCd	mp-1078
209	CaCdAs	mp-1095180
210	CaCdCu	mp-1190573
211	CaCdN	mp-1246711
212	CaCdP	mp-1078908
213	CaCdPb	mp-865167
214	CaCdPd	mp-1068286
215	CaCdPt	mp-1103046
216	CaCdSn	mp-861940
217	CaCl	mp-1120739
218	CaCoN	mp-1246509
219	CaCrN	mp-1246110
220	CaCu	mp-30471
221	CaCuAs	mp-4120
222	CaCuSb	mp-5910
223	CaCuSi	mp-1227246
224	CaFeN	mp-1246856
225	CaGa	mp-6914
226	CaGaHg	mp-1183450
227	CaGaIr	mp-31481
228	CaGaN	mp-17875
229	CaGaNi	mp-1080561
230	CaGaPd	mp-1078280
231	CaGaSi	mp-1227042
232	CaGaSn	mp-1227330
233	CaGePd	mp-1071127
234	CaGePt	mp-31153
235	CaH	mp-24809
236	CaHfN	mp-1029359
237	CaHg	mp-863648
238	CaHOs	mp-1207196
239	CaHPd	mp-1207169
240	CaIn	mp-1191538
241	CaInAu	mp-20378
242	CaInCu	mp-19968
243	CaInIr	mp-20838
244	CaInNi	mp-672194
245	CaInP	mp-614572
246	CaInPb	mp-1183460
247	CaInPd	mp-20108
248	CaInPt	mp-21885
249	CaInRh	mp-20220
250	CaIr	mp-570436
251	CaMnN	mp-1029959
252	CaMoN	mp-989401
253	CaN	mp-568293
254	CaNCl	mp-22936
255	CaNi	mp-1102167
256	CaNiGe	mp-1104825
257	CaNiH	mp-1104735
258	CaNiP	mp-510001
259	CaNiSn	mp-31158
260	CaOsN	mp-1246504
261	CaP	mp-9122
262	CaPb	mp-30478
263	CaPbAu	mp-20723
264	CaPbN	mp-1246970
265	CaPbSe	mp-1227810
266	CaPd	mp-1106061
267	CaPt	mp-1103570
268	CaReN	mp-1246058
269	CaRh	mp-571262
270	CaRhN	mp-1246957
271	CaRuN	mp-1246068
272	CaS	mp-1672
273	CaSb	mp-9925
274	CaSbPd	mp-1213959
275	CaSbPt	mp-8487
276	CaSe	mp-1415
277	CaSi	mp-8372
278	CaSiAu	mp-1227046
279	CaSiIr	mp-1068653
280	CaSiN	mp-1019576
281	CaSiPd	mp-8842
282	CaSn	mp-1009730
283	CaSnGe	mp-1078274
284	CaSnN	mp-1029633
285	CaSnPt	mp-1102040
286	CaSnRh	mp-861935
287	CaTcN	mp-989638
288	CaTe	mp-569170
289	CaTeN	mp-1246515
290	CaTl	mp-2861
291	CaTlCl	mp-998787
292	CaVN	mp-1029737
293	CaZn	mp-1734
294	CaZnPd	mp-1213948
295	CaZnSi	mp-1227003
296	CaZrRh	mp-861662
297	Cd	mp-94
298	Cd(GaTe)	mp-36641
299	Cd(InSe)	mp-568032
300	Cd(InTe)	mp-21374
301	Cd(SCl)	mp-1021494
302	CdAg	mp-1226726
303	CdAgAu	mp-1183634
304	CdAs	mp-471
305	CdAu	mp-1183643
306	CdCl	mp-695850
307	CdGaSe	mp-1227014
308	CdGeP	mp-3668
309	CdGeS	mp-5151
310	CdHgSe	mp-1226729
311	CdInRh	mp-977367
312	CdPCl	mp-31276
313	CdPd	mp-1696
314	CdPdSe	mp-1025371
315	CdPt	mp-1183654
316	CdRhPb	mp-1183697
317	CdS	mp-2469
318	CdSiAs	mp-3078
319	CdSiN	mp-1245562
320	CdSnAu	mp-1226720
321	CdSnRh	mp-861877
322	CdSnTe	mp-1226740
323	CdTeS	mp-1226950
324	CdTeSe	mp-1226940
325	Co	mp-54
326	Co(GeS)	mp-2956
327	Co(NiS)	mp-674355
328	Co(SnS)	mp-554907
329	CoAs	mp-2715
330	CoAsSe	mp-505511
331	CoCl	mp-632413
332	CoCuGe	mp-19955
333	CoGe	mp-21237
334	CoGeTe	mp-3715
335	CoMo	mp-1079042
336	CoMoP	mp-1025557
337	CoN	mp-448
338	CoNiAs	mp-1079542
339	CoNiGe	mp-1226021
340	CoNiS	mp-1226064
341	CoNiSb	mp-1226120
342	CoNiSe	mp-1226013
343	CoNiTe	mp-1226048
344	CoP	mp-22270
345	CoPS	mp-1226003
346	CoPSe	mp-10368
347	CoPt	mp-865193
348	CoRe	mp-865960
349	CoS	mp-850049
350	CoSbS	mp-4962
351	CoSe	mp-604908
352	CoSi	mp-1079393
353	CoSiMo	mp-1226108
354	CoSiNi	mp-1102115
355	CoSn	mp-1183777
356	CoTe	mp-1009641
357	CoW	mp-1079946
358	CoWC	mp-640163
359	Cr	mp-17
360	Cr(GaS)	mp-985304
361	Cr(MoS)	mp-542188
362	Cr(RhSe)	mp-1077996
363	CrAgS	mp-1238831
364	CrAgSe	mp-3532
365	CrAs	mp-28704
366	CrAsC	mp-1079324
367	CrAsRh	mp-15683
368	CrAsRu	mp-1213816
369	CrAuS	mp-7113
370	CrC	mp-1018050
371	CrCl	mp-22857
372	CrCoP	mp-1226398
373	CrCuS	mp-5862
374	CrFeAs	mp-1226290
375	CrFeP	mp-21495
376	CrGa	mp-1070544
377	CrGaRu	mp-1183688
378	CrGe	mp-20685
379	CrGeTe	mp-541449
380	CrH	mp-24208
381	CrIr	mp-1609
382	CrMoAs	mp-1226254
383	CrN	mp-1014369
384	CrNi	mp-784631
385	CrNiP	mp-1079966
386	CrNiS	mp-27512
387	CrNiSb	mp-1226212
388	CrNiSe	mp-1025151
389	CrP	mp-505626
390	CrPN	mp-1080816
391	CrPt	mp-1183705
392	CrRh	mp-1226170
393	CrRhS	mp-1226375
394	CrS	mp-1181961
395	CrSbAs	mp-1226340
396	CrSbSe	mp-15236
397	CrSe	mp-1226371
398	CrSi	mp-729
399	CrSiMo	mp-1226248
400	CrSnRh	mp-1018066
401	CrTe	mp-1226086
402	Cs	mp-1055940
403	Cs(AsRh)	mp-569012
404	Cs(CoSe)	mp-571343
405	Cs(FeAs)	mp-28884
406	Cs(FeP)	mp-1207125
407	Cs(PIr)	mp-1207365
408	Cs(PRu)	mp-1207015
409	Cs(SbS)	mp-8890
410	Cs(SbSe)	mp-3312
411	Cs(VS)	mp-1226432
412	CsAgCl	mp-567558
413	CsAgTe	mp-1213692
414	CsAlTe	mp-1193748
415	CsAs	mp-15557
416	CsAu	mp-2667
417	CsAuSe	mp-29194
418	CsBiPd	mp-1080693
419	CsBiS	mp-541378
420	CsBiSe	mp-1229208
421	CsCaCl	mp-1213703
422	CsCdH	mp-1184118
423	CsCrCl	mp-610955
424	CsCuS	mp-561033
425	CsFeSe	mp-662563
426	CsGa	mp-574338
427	CsGaSe	mp-574485
428	CsGeSe	mp-1102254
429	CsGeTe	mp-662549
430	CsH	mp-1057286
431	CsHg	mp-1080797
432	CsIn	mp-567752
433	CsInS	mp-559459
434	CsMnAs	mp-505016
435	CsMnCl	mp-1025252
436	CsMnH	mp-643706
437	CsMnS	mp-505034
438	CsMnSe	mp-1207359
439	CsMoSe	mp-5883
440	CsN	mp-510557
441	CsNiSe	mp-14336
442	CsP	mp-14652
443	CsPb	mp-1183989
444	CsPbCl	mp-1097709
445	CsPdCl	mp-29988
446	CsPdSe	mp-11694
447	CsPSe	mp-569060
448	CsPtS	mp-13992
449	CsPtSe	mp-14338
450	CsRbBi	mp-1185546
451	CsReN	mp-1097067
452	CsS	mp-1188913
453	CsSb	mp-573514
454	CsSbCl	mp-1112353
455	CsSbS	mp-561639
456	CsSbSe	mp-17811
457	CsScCl	mp-1112966
458	CsSn	mp-865565
459	CsSnCl	mp-608555
460	CsSnSe	mp-1103379
461	CsTaSe	mp-1225880
462	CsTe	mp-8361
463	CsTlCl	mp-1112648
464	CsVCl	mp-22977
465	CsVSe	mp-1120763
466	Cu	mp-989782
467	Cu(RhSe)	mp-15614
468	Cu(SnS)	mp-1184041
469	CuAsS	mp-28717
470	CuAu	mp-570895
471	CuAuSe	mp-30151
472	CuCl	mp-1184046
473	CuGe	mp-19724
474	CuGeN	mp-1246877
475	CuGeS	mvc-13350
476	CuGeSe	mp-4728
477	CuNiS	mp-1225702
478	CuP	mp-927
479	CuPd	mp-30594
480	CuPdAu	mp-1225771
481	CuPdSe	mp-1212900
482	CuPS	mp-1105187
483	CuRu	mp-1184121
484	CuS	mp-1225811
485	CuSb	mp-1825
486	CuSbRh	mp-867753
487	CuSbSe	mp-9814
488	CuSe	mp-580226
489	CuSeS	mp-1225747
490	CuSi	mp-972828
491	CuSiS	mp-1225897
492	CuSiSe	mp-10428
493	CuSnAu	mp-1071623
494	CuSnPd	mp-1213092
495	CuSnS	mp-10519
496	CuSnSe	mvc-13133
497	CuTe	mp-20826
498	CuTeSe	mp-1225744
499	Fe	mp-136
500	Fe(CoSe)	mp-1025235
501	Fe(MoSe)	mp-686056
502	Fe(NiSe)	mp-1025359
503	Fe(SiP)	mp-9198
504	FeAsS	mp-561511
505	FeAsSe	mp-1101894
506	FeCl	mp-1225059
507	FeCoP	mp-1095664
508	FeCoSb	mp-1224950
509	FeCoSe	mp-1078104
510	FeCoSi	mp-1225227
511	FeCuS	mp-675830
512	FeGe	mp-22478
513	FeMo	mp-569594
514	FeMoAs	mp-1225002
515	FeMoN	mp-1225023
516	FeN	mp-906903
517	FeNiAs	mp-1224770
518	FeNiP	mp-571370
519	FeNiPt	mp-13463
520	FeNiSb	mp-1224810
521	FeNiSe	mp-1224875
522	FeP	mp-568328
523	FePd	mp-21845
524	FePt	mp-2260
525	FePtN	mp-579496
526	FeRh	mp-1184368
527	FeRhN	mp-580234
528	FeRu	mp-1224803
529	FeS	mp-850083
530	FeSbRh	mp-1206853
531	FeSbSe	mp-1103256
532	FeSe	mp-20311
533	FeSi	mp-871
534	FeSiMo	mp-1224916
535	FeSiNi	mp-1212682
536	FeSiW	mp-961653
537	FeTe	mp-19880
538	FeTeAs	mp-1102288
539	FeTeS	mp-1225166
540	FeTeSe	mp-1225000
541	FeW	mp-20868
542	Ga	mp-569007
543	Ga(PS)	mp-676038
544	GaAg	mp-1224870
545	GaAgS	mp-5342
546	GaAgTe	mp-1224790
547	GaAs	mp-2534
548	GaAsRh	mp-1224900
549	GaAu	mp-30379
550	GaBiAs	mp-1224784
551	GaBiS	mp-556712
552	GaBiSe	mp-571085
553	GaCl	mp-571266
554	GaCo	mp-1184009
555	GaCoGe	mp-1224863
556	GaCu	mp-1184001
557	GaCuRh	mp-862485
558	GaCuSe	mp-1212666
559	GaFe	mp-1078766
560	GaFeCo	mp-1224867
561	GaFeGe	mp-1225119
562	GaFeS	mp-20793
563	GaGePt	mp-1224871
564	GaGeRu	mp-865895
565	GaHgCl	mp-1103091
566	GaIrRu	mp-866041
567	GaMo	mp-2377
568	GaN	mp-1057086
569	GaNi	mp-21589
570	GaNiGe	mp-29749
571	GaNiRu	mp-1184299
572	GaNiS	mp-917343
573	GaNiSn	mp-1106177
574	GaOs	mp-570844
575	GaP	mp-2490
576	GaPd	mp-405
577	GaPS	mp-30979
578	GaPt	mp-2223
579	GaRe	mp-1188393
580	GaRh	mp-1200062
581	GaRu	mp-672204
582	GaS	mp-1079082
583	GaSe	mp-1340
584	GaSeS	mp-1224822
585	GaSiMo	mp-1224841
586	GaSiRu	mp-865615
587	GaTc	mp-867841
588	GaTe	mp-542812
589	Ge	mp-1091415
590	Ge(MoW)	mp-1224598
591	GeAs	mp-9548
592	GeAsAu	mp-1224371
593	GeBiPd	mp-1224414
594	GeIr	mp-489
595	GeMo	mp-17094
596	GeN	mp-13852
597	GeOs	mp-16610
598	GePbN	mp-1246521
599	GePt	mp-20061
600	GeRh	mp-22239
601	GeRu	mp-706531
602	GeS	mp-7582
603	GeSe	mp-10759
604	GeTe	mp-1080459
605	GeTePb	mp-1224448
606	GeTeRh	mp-607818
607	HCN	mp-30094
608	HCS	mp-559204
609	Hf	mp-100
610	Hf(AlSi)	mp-1224425
611	Hf(CrGa)	mp-1190672
612	Hf(MnGe)	mp-22018
613	Hf(NbGe)	mp-21659
614	Hf(SeS)	mp-1224418
615	Hf(TiSe)	mp-1224524
616	Hf(TlSe)	mp-1198311
617	Hf(VGa)	mp-1191713
618	HfAg	mp-13156
619	HfAgPd	mp-1224331
620	HfAgS	mp-28941
621	HfAl	mp-12772
622	HfAlCo	mp-1224408
623	HfAlCr	mp-1224466
624	HfAlCu	mp-1224481
625	HfAlFe	mp-983358
626	HfAlGe	mp-1224464
627	HfAlIr	mp-982870
628	HfAlN	mp-1079110
629	HfAlNi	mp-1223828
630	HfAlOs	mp-973769
631	HfAlPd	mp-1223870
632	HfAlPt	mp-1181237
633	HfAlRh	mp-1224494
634	HfAlRu	mp-864909
635	HfAlSi	mp-1223834
636	HfAlZn	mp-1224303
637	HfAs	mp-29646
638	HfAsRu	mp-1212409
639	HfAu	mp-1007755
640	HfBi	mp-976419
641	HfCd	mp-1018156
642	HfCdRh	mp-865174
643	HfCl	mp-29422
644	HfCo	mp-1205422
645	HfCoAs	mp-9801
646	HfCoGe	mp-1102310
647	HfCoOs	mp-1184586
648	HfCoP	mp-1224559
649	HfCoSi	mp-607990
650	HfCoSn	mp-22315
651	HfCoTc	mp-866088
652	HfCr	mp-819
653	HfCrGa	mp-1203073
654	HfCu	mp-1184704
655	HfCuGe	mp-17801
656	HfCuOs	mp-864974
657	HfCuSn	mp-1018713
658	HfFe	mp-956096
659	HfFeIr	mp-864890
660	HfFeSb	mp-1212435
661	HfFeSi	mp-1105701
662	HfFeSn	mp-866051
663	HfFeTe	mp-623814
664	HfGa	mp-22337
665	HfGaCu	mp-1223908
666	HfGaFe	mp-1087487
667	HfGaNi	mp-1025176
668	HfGaPt	mp-571609
669	HfGaSn	mp-1189978
670	HfGe	mp-13683
671	HfGeRh	mp-1079167
672	HfGeRu	mp-1080489
673	HfGeTe	mp-567817
674	HfH	mp-27731
675	HfHg	mp-1018154
676	HfIn	mp-22050
677	HfInAu	mp-574025
678	HfInCo	mp-864715
679	HfInCu	mp-600125
680	HfInRh	mp-865066
681	HfIr	mp-2126
682	HfIrRu	mp-973434
683	HfMn	mp-11449
684	HfMnGa	mp-1197835
685	HfMnIr	mp-865138
686	HfMnOs	mp-1184587
687	HfMnP	mp-1212189
688	HfMnSb	mp-1224484
689	HfMnSi	mp-20192
690	HfMnTe	mp-616615
691	HfMo	mp-1191083
692	HfMoIr	mp-864684
693	HfN	mp-1224383
694	HfNbRu	mp-1184582
695	HfNbTc	mp-865094
696	HfNi	mp-27165
697	HfNiP	mp-5918
698	HfNiSb	mp-1078574
699	HfNiSn	mp-510041
700	HfOsPd	mp-976265
701	HfOsRu	mp-1184604
702	HfP	mp-504812
703	HfPb	mp-1006132
704	HfPd	mp-1190654
705	HfPPd	mp-29933
706	HfPRu	mp-15963
707	HfPt	mp-1018054
708	HfPW	mp-1193918
709	HfRh	mp-17045
710	HfRu	mp-2802
711	HfS	mp-9922
712	HfSb	mp-13450
713	HfSbMo	mp-1224358
714	HfSbPd	mp-1212193
715	HfSc	mp-976128
716	HfScOs	mp-865001
717	HfScSi	mp-1224342
718	HfSe	mp-985831
719	HfSeN	mp-1029330
720	HfSi	mp-17216
721	HfSiMo	mp-1224372
722	HfSiNi	mp-1224364
723	HfSiOs	mp-1079323
724	HfSiS	mp-7916
725	HfSiTe	mp-13963
726	HfSiW	mp-1102732
727	HfSn	mp-21328
728	HfSnS	mp-8725
729	HfTc	mp-11460
730	HfTcMo	mp-1184589
731	HfTcOs	mp-977541
732	HfTcPd	mp-1184594
733	HfTcRh	mp-864916
734	HfTcSb	mp-865023
735	HfTcSn	mp-865039
736	HfTiGa	mp-1212187
737	HfTiMo	mp-1224259
738	HfTiN	mp-1224286
739	HfTiRu	mp-1224169
740	HfTiSe	mp-1224218
741	HfTiZn	mp-1184579
742	HfVGe	mp-1224430
743	HfVP	mp-1095442
744	HfVSi	mp-1018720
745	HfZn	mp-1014219
746	HfZnIr	mp-864798
747	HfZnPd	mp-1184560
748	HfZr	mp-983459
749	HfZrCo	mp-1184647
750	HfZrMo	mp-1224193
751	HfZrS	mp-1224121
752	HfZrTc	mp-974943
753	Hg	mp-569289
754	Hg(SeCl)	mp-27851
755	HgCl	mp-22855
756	HgPb	mp-1224108
757	HgPCl	mp-28875
758	HgPd	mp-2685
759	HgPdSe	mp-1077944
760	HgPPt	mp-1025386
761	HgRh	mp-11870
762	HgS	mp-1106367
763	HgTe	mp-358
764	HN	mp-779689
765	HPd	mp-24289
766	HRh	mp-24722
767	HS	mp-1191644
768	HSN	mp-29491
769	In	mp-973111
770	In(MoSe)	mp-20511
771	In(PSe)	mp-1224455
772	InAg	mp-30343
773	InAgS	mp-634855
774	InAgSe	mp-1224092
775	InAsP	mp-1223837
776	InAsSe	mp-1224020
777	InAu	mp-1206431
778	InBiS	mp-27195
779	InCl	mp-862983
780	InCo	mp-22236
781	InCoS	mp-554575
782	InCuS	mp-1223996
783	InFeRh	mp-1184829
784	InFeS	mp-21112
785	InGaAs	mp-1223781
786	InGaTe	mp-1223857
787	InIr	mp-636498
788	InNi	mp-20997
789	InNiS	mp-20708
790	InNiSn	mp-1223749
791	InP	mp-966800
792	InPdSe	mp-1190972
793	InPPd	mp-1025161
794	InPS	mp-20790
795	InPt	mp-22075
796	InRh	mp-899
797	InRhS	mp-1077883
798	InRu	mp-607450
799	InS	mp-22216
800	InSbS	mp-21365
801	InSbTe	mp-1224005
802	InSe	mp-19932
803	InSeCl	mp-568603
804	InSiPt	mp-1025370
805	InSnCl	mp-1212110
806	InSnS	mp-675124
807	InSnSe	mp-1223673
808	InTe	mp-669311
809	InTePb	mp-1224649
810	Ir	mp-101
811	IrCl	mp-568208
812	IrRu	mp-1223860
813	IrS	mp-861979
814	IrSe	mp-9888
815	IrW	mp-30744
816	K	mp-573691
817	K(AsIr)	mp-1206406
818	K(AsRh)	mp-34232
819	K(AsRu)	mp-1206600
820	K(CoAs)	mp-569408
821	K(CoSe)	mp-4668
822	K(CrS)	mp-1238855
823	K(CuAs)	mp-8608
824	K(FeSe)	mp-1224651
825	K(MoS)	mp-8116
826	K(NbSe)	mp-1223754
827	K(PRu)	mp-1207022
828	K(SbSe)	mp-9797
829	K(SiPt)	mp-1223832
830	K(VS)	mp-1223993
831	KAg	mp-12735
832	KAgCl	mp-998554
833	KAgSe	mp-573891
834	KAs	mp-14018
835	KAsPt	mp-1079513
836	KAsS	mp-3797
837	KAsSe	mp-1204061
838	KBi	mp-23279
839	KBiAu	mp-1084770
840	KBiS	mp-1223584
841	KBiSe	mp-28800
842	KBiTe	mp-29379
843	KCaBi	mp-773137
844	KCaCl	mp-1211643
845	KCdAu	mp-1184757
846	KCdP	mp-28302
847	KCdSb	mp-1018652
848	KCdSn	mp-1079679
849	KCl	mp-23193
850	KCoN	mp-1029444
851	KCoS	mp-5131
852	KCrS	mp-654008
853	KCuAs	mp-14623
854	KCuP	mp-7439
855	KCuS	mp-28270
856	KCuSb	mp-10381
857	KCuTe	mp-541622
858	KGaS	mp-541686
859	KGe	mp-1201758
860	KGeN	mp-1029404
861	KGeS	mp-14434
862	KGeTe	mp-28126
863	KHg	mp-1185041
864	KHgAs	mp-29484
865	KHgSb	mp-10763
866	KHN	mp-974267
867	KHPt	mp-1223664
868	KHS	mp-634676
869	KIn	mp-22481
870	KInNi	mp-569886
871	KInP	mp-1224505
872	KMnP	mp-20422
873	KMoCl	mp-27826
874	KMoS	mp-17980
875	KNa	mp-570786
876	KNaCl	mp-1223376
877	KNaSb	mp-15724
878	KNbAs	mp-18361
879	KNbS	mp-18383
880	KNiAs	mp-9673
881	KP	mp-8262
882	KPAu	mp-14624
883	KPb	mp-21613
884	KPPd	mp-7505
885	KPSe	mp-31313
886	KPtC	mp-976876
887	KPtSe	mp-8621
888	KS	mp-7667
889	KSb	mp-14017
890	KSbAu	mp-867335
891	KSbCl	mp-27241
892	KSbS	mp-11703
893	KSe	mp-18609
894	KSiTe	mp-7657
895	KSnS	mp-1120733
896	KSnSb	mp-1223733
897	KSnSe	mp-541875
898	KSrCl	mp-1224035
899	KTaCl	mp-31360
900	KTaS	mp-18148
901	KTe	mp-7289
902	KTeS	mp-29692
903	KTlCl	mp-1111296
904	KVS	mp-3529
905	KYCl	mp-1111151
906	KZnAs	mp-571461
907	KZnCl	mp-1190451
908	KZnH	mp-695998
909	KZnP	mp-7437
910	KZrCl	mp-27585
911	KZrS	mp-1002123
912	KZrTe	mp-29602
913	Mn	mp-35
914	Mn(BiSe)	mp-1104183
915	Mn(CrS)	mp-1078000
916	Mn(CrSe)	mp-1025180
917	Mn(GaS)	mp-1221975
918	Mn(GaTe)	mp-653120
919	Mn(NbSe)	mp-1193575
920	Mn(SiGe)	mp-1222206
921	MnAl	mp-12067
922	MnAlCr	mp-1221714
923	MnAlFe	mp-1221672
924	MnAlGe	mp-20757
925	MnAlTc	mp-1185976
926	MnAlV	mp-10895
927	MnAlW	mp-864990
928	MnAs	mp-612701
929	MnAu	mp-12565
930	MnBiS	mp-1095372
931	MnCdTe	mp-1221664
932	MnCl	mp-28233
933	MnCoGe	mp-22289
934	MnCoSi	mp-1221669
935	MnCrAs	mp-1221789
936	MnCrP	mp-1221731
937	MnCrSi	mp-1221675
938	MnCuN	mp-510380
939	MnFeAs	mp-4238
940	MnFeGe	mp-1018071
941	MnFePd	mp-1221696
942	MnFeSi	mp-1221407
943	MnGa	mp-1221639
944	MnGaCo	mp-1067664
945	MnGaFe	mp-1210826
946	MnGaIr	mp-865088
947	MnGaPd	mp-1186004
948	MnGaPt	mp-569151
949	MnGaRh	mp-864949
950	MnGe	mp-20139
951	MnGeN	mp-1222504
952	MnGeS	mp-621925
953	MnGeTe	mp-1221610
954	MnH	mp-1222194
955	MnHgTe	mp-1221591
